artist,song,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,clusters
Caribou,"Cherrybomb, Pt. 2",0,spotify:track:1Hrp8OR3vW8fnnnbumlYgE,0.442,0.607,10,-7.262,0,0.0319,0.794,0.822,0.168,0.0667,104.741,audio_features,1Hrp8OR3vW8fnnnbumlYgE,https://api.spotify.com/v1/tracks/1Hrp8OR3vW8fnnnbumlYgE,https://api.spotify.com/v1/audio-analysis/1Hrp8OR3vW8fnnnbumlYgE,274227,4,7
Daphni,Life’s What You Make It,37,spotify:track:0JHMusx7591n8jxiNTWHQf,0.66,0.606,7,-12.486,1,0.0595,0.649,0.916,0.125,0.838,140.037,audio_features,0JHMusx7591n8jxiNTWHQf,https://api.spotify.com/v1/tracks/0JHMusx7591n8jxiNTWHQf,https://api.spotify.com/v1/audio-analysis/0JHMusx7591n8jxiNTWHQf,231893,4,9
Joe Tossini,Wild Dream,15,spotify:track:6tVKgeBESp2RgOT6oaj3fo,0.789,0.318,2,-11.839,0,0.0387,0.864,0.0494,0.156,0.637,124.795,audio_features,6tVKgeBESp2RgOT6oaj3fo,https://api.spotify.com/v1/tracks/6tVKgeBESp2RgOT6oaj3fo,https://api.spotify.com/v1/audio-analysis/6tVKgeBESp2RgOT6oaj3fo,265373,4,2
Tony Allen,Asiko (In a Silent Mix) - Ricardo Villalobos Remix,6,spotify:track:6Sn6ZG9wfQ4mjari0OgfRp,0.805,0.619,1,-11.776,1,0.078,0.024,0.864,0.113,0.197,119.883,audio_features,6Sn6ZG9wfQ4mjari0OgfRp,https://api.spotify.com/v1/tracks/6Sn6ZG9wfQ4mjari0OgfRp,https://api.spotify.com/v1/audio-analysis/6Sn6ZG9wfQ4mjari0OgfRp,1747244,4,8
Ted Lucas,Plain & Sane & Simple Melody,43,spotify:track:4DCEk28xejlUHLl0i9G7FA,0.399,0.182,8,-13.955,1,0.0482,0.909,0.0,0.0977,0.147,161.82,audio_features,4DCEk28xejlUHLl0i9G7FA,https://api.spotify.com/v1/tracks/4DCEk28xejlUHLl0i9G7FA,https://api.spotify.com/v1/audio-analysis/4DCEk28xejlUHLl0i9G7FA,160194,4,5
Lô Borges,Toda Essa Água,24,spotify:track:6UztJu9S5CXgrpEHhl8tmr,0.626,0.495,7,-12.422,1,0.0324,0.265,0.707,0.31,0.772,111.496,audio_features,6UztJu9S5CXgrpEHhl8tmr,https://api.spotify.com/v1/tracks/6UztJu9S5CXgrpEHhl8tmr,https://api.spotify.com/v1/audio-analysis/6UztJu9S5CXgrpEHhl8tmr,167867,4,9
Woo,Wallpaper,0,spotify:track:3VjByw5202I2rwOCDKD51L,0.63,0.194,6,-20.514,0,0.0777,0.867,0.959,0.126,0.824,173.989,audio_features,3VjByw5202I2rwOCDKD51L,https://api.spotify.com/v1/tracks/3VjByw5202I2rwOCDKD51L,https://api.spotify.com/v1/audio-analysis/3VjByw5202I2rwOCDKD51L,129944,4,5
Caribou,Second Chance,0,spotify:track:6Ei4irwKyiictqSXpPgrW4,0.609,0.647,8,-8.198,1,0.0314,0.65,0.0042,0.136,0.78,145.021,audio_features,6Ei4irwKyiictqSXpPgrW4,https://api.spotify.com/v1/tracks/6Ei4irwKyiictqSXpPgrW4,https://api.spotify.com/v1/audio-analysis/6Ei4irwKyiictqSXpPgrW4,240039,4,4
Priscilla Ermel,Gestos De Equilíbrio,0,spotify:track:5WRRRQ4TBXRETTpo6mcVqN,0.388,0.291,10,-11.187,0,0.0361,0.515,0.775,0.0803,0.119,125.415,audio_features,5WRRRQ4TBXRETTpo6mcVqN,https://api.spotify.com/v1/tracks/5WRRRQ4TBXRETTpo6mcVqN,https://api.spotify.com/v1/audio-analysis/5WRRRQ4TBXRETTpo6mcVqN,545372,4,7
Richard Horowitz,Bandit Nrah Master of Rajasthan,0,spotify:track:3iKc77ycitMD7k0Kel1Zpn,0.31,0.399,7,-10.001,0,0.0308,0.931,0.0527,0.0951,0.0606,113.003,audio_features,3iKc77ycitMD7k0Kel1Zpn,https://api.spotify.com/v1/tracks/3iKc77ycitMD7k0Kel1Zpn,https://api.spotify.com/v1/audio-analysis/3iKc77ycitMD7k0Kel1Zpn,294524,5,5
Pepe Maina,Africa - Live; Live - Strumentale,0,spotify:track:6I60IqY0bsgmSy8QcPlETS,0.557,0.558,2,-11.398,1,0.0407,0.00507,0.876,0.0875,0.201,110.219,audio_features,6I60IqY0bsgmSy8QcPlETS,https://api.spotify.com/v1/tracks/6I60IqY0bsgmSy8QcPlETS,https://api.spotify.com/v1/audio-analysis/6I60IqY0bsgmSy8QcPlETS,136360,4,7
The-Dream,Fancy,33,spotify:track:6FYBcMhwABrPvxGkQiXEON,0.422,0.376,10,-11.348,0,0.0335,0.725,0.0,0.578,0.564,145.959,audio_features,6FYBcMhwABrPvxGkQiXEON,https://api.spotify.com/v1/tracks/6FYBcMhwABrPvxGkQiXEON,https://api.spotify.com/v1/audio-analysis/6FYBcMhwABrPvxGkQiXEON,389773,4,1
Caribou,Jamelia,0,spotify:track:2QrKnZKVJFIPshADjTz0aF,0.721,0.51,1,-9.871,0,0.0475,0.375,0.0801,0.0934,0.652,119.991,audio_features,2QrKnZKVJFIPshADjTz0aF,https://api.spotify.com/v1/tracks/2QrKnZKVJFIPshADjTz0aF,https://api.spotify.com/v1/audio-analysis/2QrKnZKVJFIPshADjTz0aF,238747,4,2
iSH,Faster Than A Speeding Bullet,11,spotify:track:4wH0ZWioUVeit5O5xlWYHZ,0.738,0.328,9,-21.048,1,0.0572,0.481,0.0131,0.209,0.312,94.911,audio_features,4wH0ZWioUVeit5O5xlWYHZ,https://api.spotify.com/v1/tracks/4wH0ZWioUVeit5O5xlWYHZ,https://api.spotify.com/v1/audio-analysis/4wH0ZWioUVeit5O5xlWYHZ,185560,4,5
Supreme Jubilees,It'll All Be Over,0,spotify:track:2B1uvI5uBgni1VBsQRljma,0.664,0.235,11,-14.714,0,0.033,0.844,0.0102,0.102,0.351,81.942,audio_features,2B1uvI5uBgni1VBsQRljma,https://api.spotify.com/v1/tracks/2B1uvI5uBgni1VBsQRljma,https://api.spotify.com/v1/audio-analysis/2B1uvI5uBgni1VBsQRljma,183933,4,5
Caribou,Lalibela,32,spotify:track:2mCtB7u4Bx6Wg637jAqIzh,0.597,0.244,1,-14.787,0,0.188,0.218,0.793,0.184,0.153,118.435,audio_features,2mCtB7u4Bx6Wg637jAqIzh,https://api.spotify.com/v1/tracks/2mCtB7u4Bx6Wg637jAqIzh,https://api.spotify.com/v1/audio-analysis/2mCtB7u4Bx6Wg637jAqIzh,145853,4,7
Bassekou Kouyate,Ngoni Fola,3,spotify:track:5nfhXvKhfeiV8YJ7bT0Xwo,0.555,0.853,0,-6.213,1,0.0502,0.346,0.711,0.0775,0.761,125.171,audio_features,5nfhXvKhfeiV8YJ7bT0Xwo,https://api.spotify.com/v1/tracks/5nfhXvKhfeiV8YJ7bT0Xwo,https://api.spotify.com/v1/audio-analysis/5nfhXvKhfeiV8YJ7bT0Xwo,257933,4,2
