artist,song,popularity
JAY-Z,Big Pimpin',0
DJ Ss,Black,0
Broadcast,Black Cat,40
Moodymann,Black Mahogani,0
Led Zeppelin,Black Mountain Side - 1993 Remaster,45
Eddie Gale,Black Rhythm Happening - Remastered,27
Cocteau Twins,Blind Dumb Deaf,0
Sonny Sharrock,Blind Willie,32
Fred Wesley & The J.B.'s,Blow Your Head,0
Robin Kenyatta,Blues for Your Mama,3
Jimi Hendrix,Bold as Love,57
A Tribe Called Quest,Bonita Applebum - includes 'Can I Kick It' Intro,0
Prefab Sprout,Bonny,0
Showbiz & A.G.,Bounce Ta This,0
Cymande,Bra,0
Don Cherry,Bra Joe from Kilimanjaro,14
Luke Abbott,Brazil - Slow Version,0
"Earth, Wind & Fire",Brazilian Rhyme,0
Aphrodite's Child,Break,0
Rah Digga,Break Fool,32
Wu-Tang Clan,"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)",64
Don Cherry,Brown Rice,0
Arp Life,Bu-bu,0
Burundi Steiphenson Black,Burundi Black - 2E Partie,0
Daphni,Carry On,53
Marlena Shaw,California Soul,0
Antena,Camino del Sol,0
A Tribe Called Quest,Can I Kick It?,0
Wu-Tang Clan,"Can It Be All So Simple / Intermission (feat. RZA, Raekwon & Ghostface Killah)",54
Mr. Fingers,Can You Feel It,0
Emeralds,Candy Shoppe,0
Mercury Rev,Car Wash Hair - Full Pull,23
Joni Mitchell,Carey,0
Colin Blunstone,Caroline Goodbye,30
"Crosby, Stills, Nash & Young",Carry On,61
Abaco Dream,Cat Woman,0
Loleatta Holloway,Catch Me On the Rebound,0
Nathan Davis,Cecen Kizi,29
Ms. (Sharon) Ridley,Changin',0
A Tribe Called Quest,Check the Rhime,67
John Cale,Child's Christmas In Wales,0
We All Together,Children,0
Linda Perhacs,Chimacum Rain,0
Caribou,Hello Hammerheads,0
Neil Young,Cinnamon Girl - 2009 Remaster,0
Boredoms,(circle),0
Usher,Climax,0
Gang Starr,Code Of The Streets,52
Edwin Birdsong,Cola Bottle Baby,0
Jeru The Damaja,Come Clean - E New Y Radio,0
Salma Agha,Come Closer,0
Jean-Luc Ponty,Computer Incantations for World Peace,18
