danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.481,0.526,5,-9.943,0.0584,0.396,0.151,0.0756,0.796,95.288,259987,4
0.764,0.724,0,-5.394,0.054,0.72,0.00135,0.28,0.693,101.505,376600,4
0.726,0.88,9,-6.724,0.059,0.0146,0.149,0.407,0.73,120.022,336673,4
0.806,0.547,0,-11.403,0.0455,0.0457,0.696,0.199,0.853,111.247,61947,4
0.459,0.965,8,-5.072,0.0813,0.688,0.841,0.505,0.473,110.234,510240,3
0.385,0.42,4,-12.961,0.0347,0.307,6.43e-06,0.192,0.449,82.298,255025,4
0.507,0.421,5,-12.394,0.0392,0.839,0.69,0.12,0.505,176.121,148074,4
0.587,0.196,8,-16.262,0.482,0.981,0.0116,0.226,0.697,60.226,102480,4
0.795,0.796,6,-10.934,0.0634,0.506,0.909,0.114,0.32,109.999,295772,4
0.743,0.879,2,-6.528,0.0597,0.181,1.07e-05,0.0733,0.74,114.47,225893,4
0.354,0.287,0,-15.221,0.0344,0.715,0.119,0.0846,0.202,111.211,1085800,4
0.65,0.712,5,-8.012,0.0706,0.77,4.4e-05,0.206,0.746,107.994,200453,4
0.638,0.727,0,-7.56,0.0564,0.639,0.0,0.117,0.946,97.947,139360,4
0.611,0.615,4,-8.342,0.0402,0.155,0.266,0.105,0.646,79.992,316660,4
0.46,0.395,11,-10.959,0.0364,0.719,0.0,0.11,0.182,108.647,164240,4
0.407,0.558,7,-13.268,0.115,0.107,0.00102,0.372,0.543,141.612,180185,4
0.735,0.87,9,-7.682,0.0754,0.0287,0.133,0.204,0.728,122.721,261000,4
0.692,0.404,0,-9.033,0.0471,0.765,0.78,0.799,0.501,127.989,236040,4
0.612,0.904,10,-8.183,0.0378,0.000191,0.79,0.144,0.537,130.983,383462,4
0.631,0.9,11,-8.071,0.343,0.422,0.000264,0.3,0.758,140.808,272191,3
0.469,0.651,7,-10.39,0.0391,0.498,0.0821,0.216,0.706,97.997,162543,4
0.845,0.639,11,-11.686,0.0541,0.000141,0.931,0.0803,0.814,124.992,238417,4
0.541,0.29,1,-13.755,0.0404,0.778,0.642,0.543,0.32,124.042,218000,4
0.68,0.453,2,-9.154,0.0337,0.683,0.231,0.114,0.701,108.288,363387,4
0.765,0.376,3,-16.316,0.0299,0.852,0.0134,0.113,0.581,99.786,168963,4
0.528,0.551,9,-11.074,0.0368,0.763,0.0286,0.044,0.545,104.271,428665,4
0.828,0.549,8,-6.508,0.0862,0.573,0.0,0.19,0.727,141.668,216120,4
